날짜,종가,오픈,고가,저가,거래량,변동 %
2019년 11월 01일,"213,900","213,600","215,900","208,900",44.23K,0.28%
2019년 10월 31일,"213,300","214,100","215,900","208,500",12.53K,-0.42%
2019년 10월 30일,"214,200","220,400","222,500","210,600",15.87K,-2.81%
2019년 10월 29일,"220,400","211,500","223,800","211,200",28.30K,4.16%
2019년 10월 28일,"211,600","212,000","217,100","210,100",12.62K,-0.19%
2019년 10월 27일,"212,000","208,700","217,300","205,100",27.76K,1.73%
2019년 10월 26일,"208,400","210,600","226,100","202,700",17.54K,-1.04%
2019년 10월 25일,"210,600","189,100","216,200","188,900",79.14K,11.31%
2019년 10월 24일,"189,200","192,200","193,600","187,000",11.14K,-1.51%
2019년 10월 23일,"192,100","202,000","203,100","182,700",25.26K,-5.00%
2019년 10월 22일,"202,200","205,000","206,100","201,400",14.35K,-1.41%
2019년 10월 21일,"205,100","207,200","210,200","202,600",16.01K,-1.01%
2019년 10월 20일,"207,200","204,300","208,900","201,700",17.04K,1.47%
2019년 10월 19일,"204,200","205,600","207,400","202,000",10.12K,-0.49%
2019년 10월 18일,"205,200","209,900","210,300","201,400",9.90K,-2.24%
2019년 10월 17일,"209,900","208,000","212,300","206,000",12.74K,0.86%
2019년 10월 16일,"208,100","214,600","215,900","205,000",13.37K,-3.07%
2019년 10월 15일,"214,700","220,800","222,600","211,900",27.05K,-2.76%
